Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,Open,High,Low,Close,Adj Close,Volume
17-09-2014,456.38,80119,240563,133776,29829733124,2.73E+17,7.806,169431581,0.0699,0.0456,7.742,2636,110.753,170439,19.806,0.264,465.864014,468.174011,452.421997,457.334015,457.334015,21056800
18-09-2014,438.518,77185,236621,134311,29829733124,2.72E+17,7.221,231461686,0.0701,0.0439,8.045,3951,131.235,171901,19.848,0.276,456.859985,456.859985,413.104004,424.440002,424.440002,34483200
19-09-2014,405.935,69266,221271,117316,29829733124,2.59E+17,6.72,230780737,0.0622,0.0406,8.421,4006,130.667,150729,19.822,0.248,424.102997,427.834991,384.532013,394.79599,394.79599,37919700
20-09-2014,410.022,63306,208320,107878,29829733124,2.50E+17,7.223,240443092,0.0665,0.041,8.182,4860,94.343,149520,19.925,0.233,394.673004,423.29599,389.882996,408.903992,408.903992,36863600
21-09-2014,401.12,59636,217914,102979,29829733124,2.60E+17,6.349,272837450,0.0628,0.0401,8.78,5157,80.706,171703,19.952,0.228,408.084991,412.425995,393.181,398.821014,398.821014,26580100
22-09-2014,400.275,72900,261061,132322,29829733124,2.37E+17,7.104,146397685,0.0641,0.04,8.623,2841,112.205,178105,19.952,0.279,399.100006,406.915985,397.130005,402.152008,402.152008,24127600
23-09-2014,407.475,77133,309494,136044,29829733124,2.39E+17,6.408,178792820,0.0673,0.0407,9.6,4132,118.65,173452,19.872,0.339,402.09201,441.557007,396.196991,435.790985,435.790985,45099500
24-09-2014,428.517,74818,285427,130868,29829733124,2.33E+17,7.199,172228796,0.0708,0.0429,9.231,5141,108.534,163682,19.886,0.316,435.751007,436.112,421.131989,423.204987,423.204987,30627700
25-09-2014,411.195,78351,283495,137054,30419649105,2.52E+17,7.038,153169013,0.0693,0.0411,8.372,3491,99.324,177845,19.893,0.307,423.156006,423.519989,409.467987,411.574005,411.574005,26814400
26-09-2014,404.503,72421,310033,125906,34661425924,2.66E+17,5.174,150454962,0.267,0.0405,10.746,3070,103.37,157374,19.906,1.411,411.428986,414.937988,400.009003,404.424988,404.424988,21460800
27-09-2014,401.439,63004,292344,109795,34661425924,2.24E+17,6.021,114275971,0.0667,0.0401,10.746,3217,77.177,151584,19.894,0.312,403.556,406.622986,397.372009,399.519989,399.519989,15029300
28-09-2014,390.912,62310,328510,126118,34661425924,2.41E+17,5.281,122466686,0.0676,0.0391,11.077,2894,68.988,216634,19.916,0.331,399.471008,401.016998,374.332001,377.181,377.181,23613300
29-09-2014,377.415,77787,322603,127426,34661425924,2.32E+17,5.585,200794277,0.0591,0.0377,10.511,3438,111.927,163001,19.944,0.355,376.928009,385.210999,372.23999,375.46701,375.46701,32497700
30-09-2014,379.119,77853,297068,139464,34661425924,2.42E+17,6.015,185315919,0.0591,0.0379,9.412,3207,116.777,195201,19.916,0.317,376.088013,390.97699,373.442993,386.944,386.944,34707300
01-10-2014,384.118,78624,300152,139838,34661425924,2.73E+17,5.48,178147052,0.0631,0.0384,9.29,3409,102.726,189253,19.933,0.333,387.427002,391.378998,380.779999,383.61499,383.61499,26229400
02-10-2014,377.698,71948,298867,140273,34661425924,2.48E+17,5.265,156643305,0.0591,0.0378,10.435,3133,103.547,160538,19.956,0.326,383.988007,385.497009,372.946014,375.071991,375.071991,21777700
03-10-2014,367.304,74948,290855,126153,34661425924,2.41E+17,5.587,190603715,0.0592,0.0367,9.863,3427,93.107,154357,19.891,0.33,375.181,377.695007,357.859009,359.511993,359.511993,30901200
