Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD
17-07-2010,0.0495,235,649.653,390,181.543,2775561176,154298,1193,1.05E-05,0,8.324,2.924,0.248,804,25.749,0.001
18-07-2010,0.0726,248,765.285,424,181.543,1554461318,401834,2612,0.000243,0,8.372,6.237,0.363,917,25.782,0.0163
19-07-2010,0.0859,354,756.04,553,181.543,1551287489,481473,4047,2.18E-05,0,8.276,7.666,0.429,972,25.685,0.00154
20-07-2010,0.0783,413,984.707,632,181.543,1640430286,431831,2341,0,0,7.956,3.94,5.105,906,25.602,0
21-07-2010,0.0767,256,542.483,440,181.543,1723492810,460783,2122,0,0,6.957,4.583,3.837,809,25.638,0
22-07-2010,0.0649,221,491.903,412,181.543,1705481237,334641,2570,0,0,8.182,6.474,1.054,599,25.604,0
23-07-2010,0.0566,217,447.16,405,181.543,1716129083,319692,1166,2.61E-06,0,7.423,2.837,0.814,652,25.509,0.000195
24-07-2010,0.0581,705,1446,645,181.543,1665066217,329602,2540,0,0,7.619,2.842,0.445,964,25.527,0
25-07-2010,0.053,1592,3145,1793,181.543,1907547992,320839,2493,9.65E-05,0,6.234,1.368,0.458,2132,25.505,0.0287
26-07-2010,0.053,224,918.379,408,181.543,2223656291,289627,4608,0.000357,0,5.926,9.868,2.65,1238,26.309,0.0259
27-07-2010,0.058,260,679.271,419,239.305,2426744254,198389,1850,0.000149,0,8.675,4.343,0.195,771,26.363,0.0132
28-07-2010,0.0595,1792,3344,343,244.213,1950278995,242370,4012,3.48E-05,0,9.057,2.059,0.00297,674,26.354,0.0144
29-07-2010,0.0648,1687,2370,367,244.213,2095168440,278382,1230,3.42E-05,0,8,0.662,0.00324,528,26.369,0.0109
30-07-2010,0.0663,143,538.269,293,244.213,2189273223,275386,1336,0.000134,0,7.912,4.11,0.884,583,26.363,0.00724
31-07-2010,0.0664,92,389.704,263,244.213,2265292201,297637,1025,0.000217,0,7.094,3.475,1.341,475,26.3,0.00948
01-08-2010,0.0611,125,351.033,331,244.213,2671612580,273081,16490,0.000151,0,6.025,45.301,3.053,620,26.301,0.00755
02-08-2010,0.0613,156,356.388,335,244.213,2982826783,248468,3893,8.25E-05,0,5.95,9.782,3.063,627,26.233,0.00443
03-08-2010,0.06,421,743.899,596,244.213,2904903911,234431,2429,0,0,6.344,3.748,0.879,974,26.279,0
04-08-2010,0.0597,196,408.045,465,244.213,2741851411,264328,2005,0,0,5.926,4.57,2.984,731,26.179,0
05-08-2010,0.0596,297,846.908,544,259.068,3141922058,206592,2430,0,0,6.606,4.718,2.978,819,26.228,0
06-08-2010,0.0622,212,676.122,369,352.161,3199053766,142793,1155,0,0,9.796,3.217,0.256,638,26.194,0
07-08-2010,0.0599,118,559.974,245,352.161,2608076740,178048,1514,0.00117,0,9.29,5.545,1.438,514,26.171,0.0689
08-08-2010,0.06,192,448.196,387,352.161,3128125022,190690,616.346,0,0,7.236,1.585,0.151,584,26.149,0
09-08-2010,0.066,234,1483,442,352.161,3451603021,181613,5060,0.00122,0,7.579,12.034,3.57,778,26.326,0.0823
10-08-2010,0.069,149,394.817,299,352.161,3323478837,198271,2337,0,0,7.539,6.874,3.45,590,26.26,0
11-08-2010,0.0635,179,415.854,362,352.161,3758454224,196830,3479,0,0,6.18,8.46,3.175,701,26.444,0
12-08-2010,0.069,175,378.806,353,352.161,3882076899,192848,1083,0,0,6.636,2.764,3.45,579,26.314,0
13-08-2010,0.0655,301,756.344,529,352.161,3918463385,179694,2297,0,0,6.698,4.451,3.275,847,26.404,0
14-08-2010,0.0663,153,411.21,355,352.161,4198187090,221718,1063,0,0,5.125,2.473,3.313,563,26.337,0
15-08-2010,0.0661,108,322.952,226,389.944,5792904430,118179,1119,0,0,6.957,3.552,3.307,425,26.3,0
16-08-2010,0.0643,306,968.878,449,511.774,3723240584,127034,4352,0.000141,0,9.796,9.826,4.602,772,26.438,0.0135
17-08-2010,0.0678,189,594.527,320,511.774,3546715851,123209,3387,0,0,11.163,10.652,3.388,494,26.571,0
18-08-2010,0.069,244,1925,387,511.774,3326153695,137974,2580,0.000441,0,10.827,6.842,3.45,726,26.535,0.0362
19-08-2010,0.0673,190,542.652,301,511.774,3455494630,131465,1373,0,0,10.667,4.225,3.365,470,26.516,0
20-08-2010,0.0661,230,514.834,385,511.774,4123747293,154681,1955,0,0,7.461,4.622,3.305,656,26.561,0
21-08-2010,0.066,169,458.422,332,511.774,4652854684,122606,2551,0,0,8.324,7.459,3.298,528,26.525,0
22-08-2010,0.0655,154,391.557,324,511.774,4971164317,139665,1337,0,0,6.792,3.654,3.275,586,26.541,0
23-08-2010,0.0655,156,407.108,352,511.774,5410490997,128841,1164,0,0,6.761,3.153,3.273,653,26.523,0
24-08-2010,0.065,164,755.126,336,511.774,5427414403,128665,1370,0.000317,0,6.698,3.615,3.248,632,26.564,0.0172
25-08-2010,0.0656,149,334.458,338,511.774,5641324734,125588,1044,0,0,6.667,2.86,3.28,499,26.484,0
26-08-2010,0.0644,158,481.548,314,516.557,5452582474,124015,917.558,0,0,6.857,2.493,0.317,652,26.483,0
27-08-2010,0.0645,123,393.994,253,623.387,5839636296,94437,1851,0,0,8.421,6.296,3.225,497,26.54,0
28-08-2010,0.0646,169,526.465,311,623.387,5537117890,99090,1073,4.20E-10,0,8.471,3.166,0.646,527,26.457,2.60E-08
29-08-2010,0.0644,98,332.691,241,623.387,5039874543,103425,553.699,0.000151,0,8.889,2.13,0.349,390,26.369,0.00753
30-08-2010,0.0648,180,590.483,316,623.387,4706695827,102550,896.538,0.00013,0,9.664,2.725,0.248,522,26.312,0.00883
31-08-2010,0.0621,257,895.864,387,623.387,5304821005,107623,2489,4.83E-05,0,7.826,5.65,3.103,734,26.4,0.00373
01-09-2010,0.0625,223,813.592,365,623.387,5349934742,91634,1796,2.24E-05,0,9.172,4.726,0.686,603,26.366,0.00174
02-09-2010,0.0622,165,526.974,259,623.387,4860204896,99823,2161,0,0,9.231,6.731,3.119,543,26.355,0
03-09-2010,0.0609,155,426.171,315,623.387,4951727104,100891,1819,0,0,8.78,5.702,6.163,500,26.344,0
04-09-2010,0.0618,93,328.414,242,623.387,5366881132,104237,1856,0,0,7.956,6.774,6.166,451,26.361,0
05-09-2010,0.062,146,465.139,296,623.387,5351068779,95627,8510,4.25E-06,0,8.727,27.365,3.103,548,26.434,0.000258
06-09-2010,0.0622,120,424.88,260,623.387,5095396019,96359,4699,5.18E-11,0,9.114,16.902,3.108,511,26.402,2.93E-09
07-09-2010,0.0613,122,386.781,245,623.387,4781518950,102562,1118,0,0,9,3.965,3.065,403,26.365,0
08-09-2010,0.0615,174,479.806,306,696.613,5497292943,92295,1085,7.07E-11,0,8.727,3.202,0.109,545,26.296,4.72E-09
09-09-2010,0.0611,189,633.726,313,712.885,5428655621,75979,2088,3.56E-05,0,10.667,6.444,3.055,514,26.265,0.00279
10-09-2010,0.0614,183,480.203,312,712.885,5652888035,96126,870.212,3.36E-11,0,8.136,2.417,0.307,541,26.25,2.22E-09
11-09-2010,0.0628,145,424.7,280,712.885,5964655844,84203,641.512,0,0,9,2.103,0.245,433,26.207,0
12-09-2010,0.0618,202,619.424,373,712.885,6141554977,89056,1147,4.59E-05,0,8.136,3.028,0.0788,711,26.27,0.00318
13-09-2010,0.0621,265,695.836,457,712.885,6233335266,85159,7275,2.34E-11,0,8.421,16.686,0.745,718,26.115,1.92E-09
14-09-2010,0.062,221,517.32,388,712.885,6566059092,95834,1878,2.69E-06,0,7.094,4.429,3.1,664,26.035,0.000182
15-09-2010,0.0615,261,686.669,430,712.885,6449596169,80509,2453,0,0,8.521,5.704,2.144,662,25.982,0
16-09-2010,0.0619,219,470.575,363,712.885,6880790711,98507,2141,0,0,6.575,4.887,3.095,685,26.084,0
17-09-2010,0.0599,153,645.538,319,712.885,7767563974,80260,4514,0,0,6.923,12.503,2.997,1003,26.667,0
18-09-2010,0.06,162,371.608,338,712.885,7924001966,89729,2617,6.67E-05,0,6.076,6.56,3,562,26.714,0.00374
19-09-2010,0.0618,146,428.684,311,893.316,9938049965,64989,3160,0,0,6.89,8.902,5.014,654,26.852,0
20-09-2010,0.0621,262,611.389,458,917.831,9484313063,66459,2580,0,0,7.094,5.549,0.745,705,26.904,0
